system_word,system_type,counter_word,counter_type,cost,penalty,total_score,label
wind,grace,light,purity,2,2,4,1
light,purity,wind,grace,3,2,5,1
fire,strength,light,purity,2,2,4,1
wind,grace,logic,logic,4,1,5,1
fire,strength,logic,logic,4,1,5,1
light,purity,wind,grace,3,2,5,1
wind,grace,logic,logic,4,2,6,0
fire,strength,wind,grace,3,0,3,1
fire,strength,shadow,stealth,6,1,7,0
shadow,stealth,light,purity,2,2,4,1
light,purity,logic,logic,4,0,4,1
wind,grace,shadow,stealth,6,0,6,0
wind,grace,shadow,stealth,6,0,6,0
wind,grace,wind,grace,3,0,3,0
wind,grace,shadow,stealth,6,2,8,0
light,purity,shadow,stealth,6,0,6,0
light,purity,light,purity,2,1,3,0
shadow,stealth,shadow,stealth,6,0,6,0
logic,logic,shadow,stealth,6,1,7,0
wind,grace,fire,strength,5,1,6,0
light,purity,logic,logic,4,1,5,1
wind,grace,wind,grace,3,0,3,0
wind,grace,fire,strength,5,0,5,1
logic,logic,light,purity,2,1,3,1
shadow,stealth,wind,grace,3,1,4,1
logic,logic,fire,strength,5,2,7,0
wind,grace,wind,grace,3,0,3,0
light,purity,fire,strength,5,2,7,0
wind,grace,shadow,stealth,6,2,8,0
wind,grace,logic,logic,4,1,5,1
light,purity,logic,logic,4,2,6,0
shadow,stealth,wind,grace,3,0,3,1
logic,logic,light,purity,2,0,2,1
logic,logic,wind,grace,3,2,5,1
fire,strength,wind,grace,3,0,3,1
fire,strength,fire,strength,5,0,5,0
shadow,stealth,fire,strength,5,0,5,1
shadow,stealth,logic,logic,4,0,4,1
wind,grace,wind,grace,3,0,3,0
logic,logic,light,purity,2,0,2,1
shadow,stealth,fire,strength,5,2,7,0
fire,strength,logic,logic,4,0,4,1
fire,strength,logic,logic,4,0,4,1
light,purity,logic,logic,4,2,6,0
fire,strength,fire,strength,5,1,6,0
logic,logic,fire,strength,5,1,6,0
fire,strength,light,purity,2,2,4,1
fire,strength,fire,strength,5,1,6,0
light,purity,shadow,stealth,6,1,7,0
shadow,stealth,shadow,stealth,6,1,7,0
logic,logic,light,purity,2,1,3,1
light,purity,light,purity,2,2,4,0
logic,logic,wind,grace,3,1,4,1
shadow,stealth,logic,logic,4,0,4,1
wind,grace,logic,logic,4,1,5,1
wind,grace,fire,strength,5,1,6,0
fire,strength,light,purity,2,2,4,1
light,purity,wind,grace,3,1,4,1
fire,strength,light,purity,2,1,3,1
logic,logic,shadow,stealth,6,0,6,0
wind,grace,wind,grace,3,2,5,0
shadow,stealth,light,purity,2,2,4,1
shadow,stealth,shadow,stealth,6,2,8,0
logic,logic,logic,logic,4,2,6,0
light,purity,shadow,stealth,6,2,8,0
wind,grace,light,purity,2,1,3,1
light,purity,fire,strength,5,2,7,0
